TEFF  10000.  GRAVITY 2.00000 LTE 
TITLE SDSC GRID  [+0.3]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.99530 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 1.99657037E-02   7715.0 1.688E+00 6.523E+11 4.708E-01 1.611E+01 2.000E+05
 2.50722148E-02   7795.8 2.115E+00 8.100E+11 5.084E-01 1.667E+01 2.000E+05
 3.13630986E-02   7877.1 2.637E+00 1.001E+12 5.515E-01 1.745E+01 2.000E+05
 3.90755719E-02   7960.1 3.270E+00 1.231E+12 6.013E-01 1.843E+01 2.000E+05
 4.84864650E-02   8046.8 4.032E+00 1.507E+12 6.586E-01 1.955E+01 2.000E+05
 5.99165021E-02   8137.6 4.944E+00 1.836E+12 7.247E-01 2.093E+01 2.000E+05
 7.37500196E-02   8236.2 6.028E+00 2.227E+12 7.995E-01 2.240E+01 2.000E+05
 9.04318932E-02   8344.4 7.307E+00 2.689E+12 8.860E-01 2.420E+01 2.000E+05
 1.10464544E-01   8467.6 8.804E+00 3.231E+12 9.856E-01 2.631E+01 2.000E+05
 1.34456929E-01   8610.8 1.054E+01 3.861E+12 1.098E+00 2.864E+01 2.000E+05
 1.63240136E-01   8777.7 1.257E+01 4.587E+12 1.217E+00 3.080E+01 2.000E+05
 1.98021042E-01   8969.0 1.494E+01 5.422E+12 1.337E+00 3.266E+01 2.000E+05
 2.40403518E-01   9190.2 1.775E+01 6.381E+12 1.457E+00 3.449E+01 2.000E+05
 2.92616704E-01   9444.9 2.113E+01 7.484E+12 1.566E+00 3.583E+01 2.000E+05
 3.57923400E-01   9735.2 2.530E+01 8.778E+12 1.658E+00 3.656E+01 2.000E+05
 4.40735523E-01  10067.9 3.053E+01 1.032E+13 1.732E+00 3.707E+01 2.000E+05
 5.47615198E-01  10441.7 3.728E+01 1.221E+13 1.773E+00 3.648E+01 2.000E+05
 6.87569063E-01  10865.6 4.621E+01 1.459E+13 1.798E+00 3.601E+01 2.000E+05
 8.72498244E-01  11349.5 5.809E+01 1.761E+13 1.806E+00 3.549E+01 2.000E+05
 1.11984158E+00  11898.2 7.415E+01 2.149E+13 1.789E+00 3.462E+01 2.000E+05
 1.45491822E+00  12521.2 9.625E+01 2.657E+13 1.752E+00 3.353E+01 2.000E+05
 1.90815629E+00  13225.9 1.264E+02 3.323E+13 1.738E+00 3.328E+01 2.000E+05
 2.51810307E+00  14020.1 1.673E+02 4.190E+13 1.720E+00 3.274E+01 2.000E+05
 3.33228418E+00  14901.8 2.219E+02 5.296E+13 1.735E+00 3.302E+01 2.000E+05
 4.41928045E+00  15878.7 2.950E+02 6.670E+13 1.716E+00 3.252E+01 2.000E+05
 5.87273428E+00  16950.3 3.930E+02 8.364E+13 1.726E+00 3.269E+01 2.000E+05
 7.80837909E+00  18115.1 5.235E+02 1.045E+14 1.721E+00 3.251E+01 2.000E+05
 1.03899905E+01  19390.5 6.975E+02 1.302E+14 1.725E+00 3.264E+01 2.000E+05
 1.38462557E+01  20769.0 9.312E+02 1.623E+14 1.707E+00 3.212E+01 2.000E+05
 1.85037653E+01  22263.5 1.248E+03 2.030E+14 1.691E+00 3.175E+01 2.000E+05
 2.47483616E+01  23875.0 1.676E+03 2.541E+14 1.690E+00 3.145E+01 2.000E+05
 3.30146991E+01  25620.3 2.241E+03 3.167E+14 1.718E+00 3.182E+01 2.000E+05
 4.37055485E+01  27501.9 2.964E+03 3.903E+14 1.796E+00 3.288E+01 2.000E+05
 5.71231066E+01  29527.4 3.863E+03 4.740E+14 1.932E+00 3.312E+01 2.000E+05
PRADK 1.8194E+01
BEGIN                    ITERATION   6 COMPLETED
