TEFF   3500.  GRAVITY 0.00000 LTE 
TITLE SDSC GRID  [-3.0]   VTURB 2.0 KM/S    L/H 1.25                            
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00100 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 1.12203343E+02   2340.7 1.122E+02 3.069E+06 1.318E-06 7.928E-06 2.000E+05 0.000E+00 0.000E+00
 1.36111060E+02   2377.8 1.361E+02 3.811E+06 1.472E-06 7.989E-06 2.000E+05 0.000E+00 0.000E+00
 1.64523883E+02   2418.2 1.645E+02 4.774E+06 1.659E-06 8.079E-06 2.000E+05 0.000E+00 0.000E+00
 1.98004022E+02   2461.7 1.980E+02 6.069E+06 1.886E-06 8.196E-06 2.000E+05 0.000E+00 0.000E+00
 2.37034119E+02   2508.6 2.370E+02 7.877E+06 2.170E-06 8.348E-06 2.000E+05 0.000E+00 0.000E+00
 2.82076987E+02   2556.8 2.821E+02 1.041E+07 2.516E-06 8.517E-06 2.000E+05 0.000E+00 0.000E+00
 3.33752199E+02   2604.9 3.338E+02 1.390E+07 2.928E-06 8.701E-06 2.000E+05 0.000E+00 0.000E+00
 3.93039939E+02   2650.9 3.930E+02 1.852E+07 3.399E-06 8.897E-06 2.000E+05 0.000E+00 0.000E+00
 4.61349329E+02   2693.6 4.613E+02 2.440E+07 3.919E-06 9.099E-06 2.000E+05 0.000E+00 0.000E+00
 5.40776324E+02   2732.1 5.408E+02 3.159E+07 4.471E-06 9.306E-06 2.000E+05 0.000E+00 0.000E+00
 6.33999119E+02   2767.0 6.340E+02 4.027E+07 5.061E-06 9.529E-06 2.000E+05 0.000E+00 0.000E+00
 7.44237782E+02   2798.7 7.442E+02 5.063E+07 5.689E-06 9.773E-06 2.000E+05 0.000E+00 0.000E+00
 8.75371762E+02   2827.8 8.754E+02 6.299E+07 6.364E-06 1.005E-05 2.000E+05 0.000E+00 0.000E+00
 1.03185811E+03   2855.3 1.032E+03 7.784E+07 7.106E-06 1.037E-05 2.000E+05 0.000E+00 0.000E+00
 1.21884714E+03   2881.4 1.219E+03 9.569E+07 7.932E-06 1.075E-05 2.000E+05 0.000E+00 0.000E+00
 1.44177522E+03   2908.0 1.442E+03 1.177E+08 8.892E-06 1.120E-05 2.000E+05 0.000E+00 0.000E+00
 1.70625736E+03   2935.5 1.706E+03 1.450E+08 1.002E-05 1.176E-05 2.000E+05 0.000E+00 0.000E+00
 2.01807796E+03   2964.5 2.018E+03 1.791E+08 1.138E-05 1.245E-05 2.000E+05 0.000E+00 0.000E+00
 2.38253629E+03   2996.1 2.383E+03 2.221E+08 1.305E-05 1.331E-05 2.000E+05 0.000E+00 0.000E+00
 2.80408984E+03   3030.9 2.804E+03 2.766E+08 1.512E-05 1.438E-05 2.000E+05 1.763E-07 0.000E+00
 3.28576249E+03   3069.9 3.286E+03 3.463E+08 1.777E-05 1.571E-05 2.000E+05 2.614E-06 0.000E+00
 3.82916471E+03   3113.5 3.829E+03 4.349E+08 2.113E-05 1.736E-05 2.000E+05 5.979E-06 0.000E+00
 4.43424693E+03   3163.1 4.434E+03 5.481E+08 2.546E-05 1.940E-05 2.000E+05 1.037E-05 2.507E+03
 5.10148234E+03   3217.7 5.101E+03 6.889E+08 3.089E-05 2.182E-05 2.000E+05 2.484E-05 6.776E+03
 5.82959426E+03   3281.3 5.830E+03 8.676E+08 3.793E-05 2.473E-05 2.000E+05 1.723E-05 5.689E+03
 6.62423957E+03   3346.1 6.624E+03 1.077E+09 4.618E-05 2.808E-05 2.000E+05 2.997E-05 7.163E+03
 7.48342060E+03   3433.0 7.483E+03 1.365E+09 5.792E-05 3.232E-05 2.000E+05 3.712E-05 7.831E+03
 8.38734517E+03   3535.7 8.387E+03 1.769E+09 7.439E-05 3.745E-05 2.000E+05 3.262E-05 6.616E+03
 9.29070320E+03   3656.7 9.290E+03 2.487E+09 1.032E-04 4.444E-05 2.000E+05 1.281E-03 3.924E+03
 1.01391232E+04   3760.9 1.014E+04 3.651E+09 1.480E-04 5.321E-05 2.000E+05 6.346E-02 1.287E+03
 1.09416558E+04   3841.8 1.094E+04 5.200E+09 2.057E-04 6.275E-05 2.000E+05 1.415E-01 7.306E+00
 1.17120548E+04   3919.5 1.171E+04 7.461E+09 2.872E-04 7.599E-05 2.000E+05 1.710E-01 1.033E+03
 1.24359954E+04   4005.2 1.244E+04 1.117E+10 4.163E-04 9.847E-05 2.000E+05 2.035E-01 6.851E+03
 1.30795465E+04   4109.4 1.308E+04 1.811E+10 6.469E-04 1.394E-04 2.000E+05 2.398E-01 2.304E+04
 1.36157274E+04   4231.4 1.362E+04 3.136E+10 1.060E-03 2.095E-04 2.000E+05 2.798E-01 4.603E+04
 1.40478334E+04   4365.6 1.405E+04 5.591E+10 1.769E-03 3.221E-04 2.000E+05 3.236E-01 4.120E+04
 1.43880057E+04   4518.1 1.439E+04 1.039E+11 3.036E-03 5.112E-04 2.000E+05 3.702E-01 9.576E+04
 1.46513599E+04   4686.2 1.465E+04 1.968E+11 5.243E-03 8.113E-04 2.000E+05 4.206E-01 1.345E+05
 1.48514285E+04   4873.7 1.485E+04 3.812E+11 9.151E-03 1.164E-03 2.000E+05 5.128E-01 2.229E+05
 1.50154002E+04   5026.7 1.501E+04 6.314E+11 1.393E-02 1.198E-03 2.000E+05 6.895E-01 2.531E+05
 1.51667065E+04   5152.4 1.517E+04 9.358E+11 1.930E-02 1.146E-03 2.000E+05 7.859E-01 2.643E+05
 1.53154765E+04   5268.7 1.531E+04 1.326E+12 2.572E-02 1.127E-03 2.000E+05 8.430E-01 2.700E+05
 1.54669319E+04   5376.8 1.547E+04 1.809E+12 3.322E-02 1.116E-03 2.000E+05 8.821E-01 2.760E+05
 1.56235089E+04   5487.4 1.562E+04 2.455E+12 4.275E-02 1.128E-03 2.000E+05 9.070E-01 2.783E+05
 1.57876520E+04   5592.5 1.579E+04 3.249E+12 5.390E-02 1.134E-03 2.000E+05 9.258E-01 2.805E+05
 1.59605705E+04   5704.7 1.596E+04 4.332E+12 6.845E-02 1.169E-03 2.000E+05 9.400E-01 2.825E+05
 1.61435300E+04   5813.5 1.614E+04 5.670E+12 8.573E-02 1.182E-03 2.000E+05 9.513E-01 2.828E+05
 1.63374307E+04   5930.0 1.633E+04 7.483E+12 1.083E-01 1.223E-03 2.000E+05 9.604E-01 2.840E+05
 1.65424827E+04   6044.8 1.654E+04 9.740E+12 1.356E-01 1.349E-03 2.000E+05 9.650E-01 2.835E+05
PRADK 1.9759E-01
BEGIN                    ITERATION  15 COMPLETED
